timestamp,bid1,bvol1,ask1,avol1,bid2,bvol2,ask2,avol2,bid3,bvol3,ask3,avol3,bid4,bvol4,ask4,avol4,bid5,bvol5,ask5,avol5
1525402847,158.48,53.47174546,158.49,223.93382559,158.48,53.47174546,158.49,223.93382559,158.48,53.47174546,158.49,223.93382559,158.48,53.47174546,158.49,223.93382559,158.48,53.47174546,158.49,223.93382559
1525402848,158.48,53.47174546,158.49,221.83353752,158.48,53.47174546,158.49,221.83353752,158.48,53.47174546,158.49,221.83353752,158.48,53.47174546,158.49,221.83353752,158.48,53.47174546,158.49,221.83353752
1525402849,158.48,53.47174546,158.49,221.83353752,158.48,53.47174546,158.49,221.83353752,158.48,53.47174546,158.49,221.83353752,158.48,53.47174546,158.49,221.83353752,158.48,53.47174546,158.49,221.83353752
1525402850,158.48,53.47174546,158.49,224.65914298,158.48,53.47174546,158.49,224.65914298,158.48,53.47174546,158.49,224.65914298,158.48,53.47174546,158.49,224.65914298,158.48,53.47174546,158.49,224.65914298
1525402851,158.48,53.47174546,158.49,224.55914298,158.48,53.47174546,158.49,224.55914298,158.48,53.47174546,158.49,224.55914298,158.48,53.47174546,158.49,224.55914298,158.48,53.47174546,158.49,224.55914298
1525402853,158.48,53.47174546,158.49,157.84009731,158.48,53.47174546,158.49,157.84009731,158.48,53.47174546,158.49,157.84009731,158.48,53.47174546,158.49,157.84009731,158.48,53.47174546,158.49,157.84009731
1525402854,158.48,53.47174546,158.49,157.84009731,158.48,53.47174546,158.49,157.84009731,158.48,53.47174546,158.49,157.84009731,158.48,53.47174546,158.49,157.84009731,158.48,53.47174546,158.49,157.84009731
1525402855,158.48,53.47174546,158.49,157.84009731,158.48,53.47174546,158.49,157.84009731,158.48,53.47174546,158.49,157.84009731,158.48,53.47174546,158.49,157.84009731,158.48,53.47174546,158.49,157.84009731
1525402856,158.48,53.47174546,158.49,157.66429731,158.48,53.47174546,158.49,157.66429731,158.48,53.47174546,158.49,157.66429731,158.48,53.47174546,158.49,157.66429731,158.48,53.47174546,158.49,157.66429731
1525402857,158.48,53.47174546,158.49,157.82429731,158.48,53.47174546,158.49,157.82429731,158.48,53.47174546,158.49,157.82429731,158.48,53.47174546,158.49,157.82429731,158.48,53.47174546,158.49,157.82429731
1525402859,158.48,53.47174546,158.49,157.82429731,158.48,53.47174546,158.49,157.82429731,158.48,53.47174546,158.49,157.82429731,158.48,53.47174546,158.49,157.82429731,158.48,53.47174546,158.49,157.82429731
1525402860,158.48,53.47174546,158.49,157.82429731,158.48,53.47174546,158.49,157.82429731,158.48,53.47174546,158.49,157.82429731,158.48,53.47174546,158.49,157.82429731,158.48,53.47174546,158.49,157.82429731
1525402861,158.48,53.47174546,158.49,157.82429731,158.48,53.47174546,158.49,157.82429731,158.48,53.47174546,158.49,157.82429731,158.48,53.47174546,158.49,157.82429731,158.48,53.47174546,158.49,157.82429731
1525402862,158.48,93.57216546,158.49,101.8488707,158.48,93.57216546,158.49,101.8488707,158.48,93.57216546,158.49,101.8488707,158.48,93.57216546,158.49,101.8488707,158.48,93.57216546,158.49,101.8488707
1525402863,158.48,93.47199546,158.49,102.1488707,158.48,93.47199546,158.49,102.1488707,158.48,93.47199546,158.49,102.1488707,158.48,93.47199546,158.49,102.1488707,158.48,93.47199546,158.49,102.1488707
1525402864,158.48,93.47199546,158.49,101.9788707,158.48,93.47199546,158.49,101.9788707,158.48,93.47199546,158.49,101.9788707,158.48,93.47199546,158.49,101.9788707,158.48,93.47199546,158.49,101.9788707
1525402866,158.48,93.47199546,158.49,101.9788707,158.48,93.47199546,158.49,101.9788707,158.48,93.47199546,158.49,101.9788707,158.48,93.47199546,158.49,101.9788707,158.48,93.47199546,158.49,101.9788707
1525402867,158.48,143.47199546,158.49,51.4788707,158.48,143.47199546,158.49,51.4788707,158.48,143.47199546,158.49,51.4788707,158.48,143.47199546,158.49,51.4788707,158.48,143.47199546,158.49,51.4788707
1525402868,158.48,143.47144546,158.49,49.3848347,158.48,143.47144546,158.49,49.3848347,158.48,143.47144546,158.49,49.3848347,158.48,143.47144546,158.49,49.3848347,158.48,143.47144546,158.49,49.3848347
1525402869,158.48,143.47144546,158.49,49.3848347,158.48,143.47144546,158.49,49.3848347,158.48,143.47144546,158.49,49.3848347,158.48,143.47144546,158.49,49.3848347,158.48,143.47144546,158.49,49.3848347
1525402870,158.48,143.47144546,158.49,49.3848347,158.48,143.47144546,158.49,49.3848347,158.48,143.47144546,158.49,49.3848347,158.48,143.47144546,158.49,49.3848347,158.48,143.47144546,158.49,49.3848347
1525402871,158.48,143.47144546,158.49,49.3848347,158.48,143.47144546,158.49,49.3848347,158.48,143.47144546,158.49,49.3848347,158.48,143.47144546,158.49,49.3848347,158.48,143.47144546,158.49,49.3848347
1525402873,158.48,53.47144546,158.49,99.6848447,158.48,53.47144546,158.49,99.6848447,158.48,53.47144546,158.49,99.6848447,158.48,53.47144546,158.49,99.6848447,158.48,53.47144546,158.49,99.6848447
1525402874,158.48,53.47144546,158.49,99.3848447,158.48,53.47144546,158.49,99.3848447,158.48,53.47144546,158.49,99.3848447,158.48,53.47144546,158.49,99.3848447,158.48,53.47144546,158.49,99.3848447
1525402875,158.48,53.47144546,158.49,99.6848447,158.48,53.47144546,158.49,99.6848447,158.48,53.47144546,158.49,99.6848447,158.48,53.47144546,158.49,99.6848447,158.48,53.47144546,158.49,99.6848447
1525402876,158.48,53.47144546,158.49,99.6848447,158.48,53.47144546,158.49,99.6848447,158.48,53.47144546,158.49,99.6848447,158.48,53.47144546,158.49,99.6848447,158.48,53.47144546,158.49,99.6848447
1525402877,158.48,53.47144546,158.49,99.6848447,158.48,53.47144546,158.49,99.6848447,158.48,53.47144546,158.49,99.6848447,158.48,53.47144546,158.49,99.6848447,158.48,53.47144546,158.49,99.6848447
1525402879,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447
1525402880,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447
1525402881,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447
1525402882,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447
1525402883,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447
1525402884,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447
1525402886,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447
1525402887,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447
1525402888,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447
1525402889,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447
1525402890,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447
1525402891,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447,158.48,53.47144546,158.49,98.6984447
1525402893,158.48,53.47144546,158.49,97.2020447,158.48,53.47144546,158.49,97.2020447,158.48,53.47144546,158.49,97.2020447,158.48,53.47144546,158.49,97.2020447,158.48,53.47144546,158.49,97.2020447
1525402894,158.48,53.47144546,158.49,97.0420447,158.48,53.47144546,158.49,97.0420447,158.48,53.47144546,158.49,97.0420447,158.48,53.47144546,158.49,97.0420447,158.48,53.47144546,158.49,97.0420447
1525402895,158.48,53.47144546,158.49,97.0420447,158.48,53.47144546,158.49,97.0420447,158.48,53.47144546,158.49,97.0420447,158.48,53.47144546,158.49,97.0420447,158.48,53.47144546,158.49,97.0420447
